x,y
0,0
367.723576820773,-2140.1768585970317
551.5888721030925,-4055.066967240764
919.3054351800062,-5969.965669695288
1470.8943072831053,-7997.4948564102815
1838.6108703600253,-10025.032636936052
2390.1997424631177,-12165.2094955331
2941.781600822351,-14192.738682248093
3493.363459181584,-16445.554618916387
4228.810612823143,-18923.65730553798
4964.250752720836,-21063.834164135013
5883.556187900843,-23204.002428921267
6619.003341542401,-25006.26205330453
7354.443481440095,-26695.869708900358
8273.748916620107,-28610.764114449477
9376.919647082439,-30300.376066950696
10663.948659083226,-32215.261878689038
12134.83595262247,-34355.44733109687
13605.723246161717,-36833.54142390767
15260.475834983283,-38861.07920443345
16731.363128522535,-40775.969313077185
17834.526845241002,-42352.94218750715
19489.279434062566,-44380.47567112753
21511.74858596105,-46070.08762362875
23166.50117478261,-47872.34295110663
25005.112045142643,-49899.87643472701
27946.886632221132,-51927.409918347395
30888.661219299625,-54180.22585501569
33278.860961762744,-55869.83780751691
35669.06070422586,-57559.44976001813
38426.9770097659,-58798.49680642353
41001.02100627975,-60262.83060278225
43391.22074874287,-61501.87764918764
46516.853617359826,-62515.64439099784
50745.66423018297,-63867.330515474496
54422.88597090302,-64768.46032766614
57916.24943008461,-65444.30553835715
61409.61288926621,-66007.50952252424
64719.104039421596,-66458.07228016735
68212.46749860319,-66795.99595973922
72257.40580240014,-66795.99595973922
75383.05269850483,-66458.07228016735
78692.54384866025,-66007.50952252424
81634.33246322646,-65444.30553835715
84759.96533184341,-64768.46032766614
87885.59820046036,-63867.330515474496
91195.1033781035,-63078.84837516491
93769.16140210506,-61839.80132875951
96343.21942610663,-60938.67366502057
99468.85229472359,-59474.34416556726
101675.17972816052,-58235.29282225646
104433.09603370055,-56883.6066977798
107191.01233924061,-55306.63382334984
109581.21208170372,-53504.38279277736
112339.12838724378,-51589.48838722823
113810.02269452687,-50237.79796584617
115464.7612558607,-48548.18601334496
117303.37212622073,-46971.213138914994
119509.7135871454,-45056.32303027126
121348.32445750543,-43254.067702793385
123003.07704632699,-41226.534219173
124841.68791668702,-39086.35736057597
126312.5681964824,-37509.3887830514
127599.60422222705,-35707.13345557352
128886.62622048397,-33904.873831190256
129805.93165566397,-32102.63139442857
131092.9536539209,-30187.73698887945
132012.25908910093,-27822.2776772345
132931.56452428096,-25231.540209447037
133667.01167792248,-22753.44611663623
134586.3171131025,-20725.90833611046
134954.04770366714,-18698.370555584665
135505.62254828252,-16670.841368869686
136241.06970192408,-14192.738682248093
136792.65857402715,-12277.848573604362
137160.37513710407,-10475.597543031876
137528.091700181,-8785.98559053065
137895.82229074562,-6871.086888076127
138079.6805722841,-4730.918623289887
138263.53885382257,-3153.945748859925
138447.397135361,-1576.9728744299464
138631.2694443872,0
