x,y
0,0
566.0291259587915,-4930.681178385784
1132.07984454463,-10477.662237224344
2264.15968908924,-15716.505111451675
3396.217941006763,-20647.162778607137
4528.297785551353,-25577.820445762623
5660.377630095963,-30508.47811291811
6792.457474640552,-35439.135780073615
8490.566445143913,-40369.8169584594
10188.675415647314,-44684.115967086334
11886.784386150675,-48998.47375378904
14150.944075239877,-53929.10790971423
16981.13289028785,-58551.60388102817
19811.3217053358,-63482.285059413975
23207.53964634252,-68721.11617802615
27169.808305935123,-74268.10899247986
29999.997120983055,-79815.11356254872
33396.21506198982,-85053.93292554573
36792.47618825067,-92141.76948605258
40754.72325521619,-97380.5888490496
46415.10088531213,-103852.0902622582
50377.3479522776,-109090.92138087041
54339.63820449725,-113405.24390072764
59433.98670863444,-118335.91332349829
63962.26290155871,-122342.07414751401
69056.61140569586,-126348.23497152973
74150.95990983305,-130662.56924700215
80377.36666588775,-134976.8917668594
87169.80254790123,-138366.72919919208
93396.25248921006,-141756.55487590955
103584.90631223026,-146070.88327357438
112641.50188333292,-149460.71482809947
120566.03920251809,-152542.37880897545
129622.63477362075,-155007.71352036076
136981.14296684717,-156548.54551079872
146037.7385379498,-157164.87478028936
155094.33410905246,-158089.3775012367
165283.03111732678,-158397.53919707824
173207.5684365119,-158705.70677072735
181698.13488165583,-158705.70677072735
191320.75957871732,-157473.03059832333
198113.23864598494,-155932.19860788537
207169.83421708757,-153775.0432257643
213962.270099101,-151617.88196583567
221320.7782923274,-148844.38555860883
228679.24330029965,-146379.05084722352
235471.72236756727,-143605.54268438148
241698.12912362197,-140215.72288547156
247924.53587967667,-136825.8972087541
254150.94263573136,-133744.2332278781
260943.42170299898,-129121.73725656417
267169.8284590537,-124807.40298109174
273396.23521510843,-120184.9070097778
279056.6128452043,-115254.24934262232
283584.93222338276,-110323.57991985169
288679.2807275199,-105084.7488012395
292641.5277944854,-99845.92943824249
297169.84717266384,-94915.26001547187
301132.09423962934,-89984.60234831636
305094.34130659484,-84129.43608240597
308490.6024328557,-78274.28157211073
311886.82037386246,-73035.45045349858
315283.03831486916,-67488.45763904486
318679.2562558759,-61941.45306897598
320377.38681900635,-57318.95709766204
322641.5465080955,-52080.137734665026
324339.63388597185,-46533.13316459615
326037.7644491023,-40677.9786543009
327735.8518269786,-35439.135780073615
329433.98239010904,-30200.316417076607
330566.0406420265,-24961.497054079595
332264.17120515695,-19722.654179852263
333396.2294570745,-15408.319904379807
334528.3308942462,-9861.338845541248
335660.38914616377,-5547.00457006888
336792.4905833354,-1540.8319904379719
337924.54883525294,0
