x,y
0,0
443.59271565922813,-3493.788685356575
887.2023532958751,-7686.342215915781
1330.795068955119,-11645.962284521982
1774.387784614347,-15139.75096987859
2217.997422250994,-18400.623963610386
2661.590137910238,-21661.496957342195
3548.792491206113,-25854.050487901368
4435.994844502004,-29114.90571130499
5323.197197797895,-32375.78759020088
6210.382629116382,-36102.47419685409
7097.584982412258,-39130.440384125184
7984.787335708148,-42624.22906948178
9315.582404663268,-46118.01775483839
11089.987111255034,-49611.806440194974
12420.782180210152,-53105.59512555158
14638.779602461162,-56832.30838769707
16413.184309052944,-60558.99499435029
18187.572093667306,-64052.80145003507
20405.569515918283,-67546.59013539167
22623.566938169326,-71040.37882074827
25728.7836356936,-74767.08319772969
28390.373773603867,-78959.63672828888
31051.963911514107,-82686.34110527026
34600.773324697635,-86645.97005904058
38593.14160958559,-90139.75874439717
42141.95102276916,-93633.54742975377
46134.35315161191,-97360.25180673516
49683.12872084064,-100388.20022367807
53675.53084968343,-103183.23294899616
58111.52569418545,-106444.10594272795
62547.52053868747,-109472.05435967087
67870.73465846278,-112965.84304502746
74524.72692521579,-116692.54297942683
81622.31190762804,-120186.33166478341
87389.08489910778,-122981.36883268357
94486.70372547487,-125310.56128958796
101584.28870788713,-127639.75374649237
110012.6856812319,-129270.19024335826
119328.26808589518,-130434.78647181047
126869.44578396669,-130900.62674022416
135297.84275731147,-130900.62674022416
145500.64443724806,-130201.86633760361
154372.63412625206,-128804.34997494458
161913.81182432352,-127173.90903549662
170342.20879766834,-124611.80532954946
176996.2010644214,-121583.85691260657
184093.78604683367,-118788.82418728845
192078.5903045192,-115760.87577034556
197401.77058033968,-112500.00721919582
202724.95085616023,-109472.05435967087
208048.16497593554,-105512.42540590058
212927.75253609678,-102251.56129733285
216476.5619492803,-99223.60399522587
220025.337518509,-96195.65557828297
223130.55421603328,-92934.79146971526
227566.54906053536,-88975.16251594496
230671.73191410486,-85015.53356217466
233776.91476767435,-81288.82918519327
237325.72418085785,-77096.27565463407
239987.31431876813,-73369.57127765266
242648.90445667834,-69409.94232388238
245310.52843854344,-64518.64171844879
247972.11857645365,-60326.09707305368
250190.11599870463,-55201.871890831186
252851.7061366149,-50543.486977022374
254626.1108432067,-45885.10206321359
255513.29627452517,-41459.63284102957
257731.2936967762,-37267.07042530629
259062.10568770865,-33074.54355023938
260392.88383468642,-28416.158636430584
260836.51039430048,-23990.68941424658
261280.10310995972,-19332.30450043778
262167.28854127816,-15605.600123456376
263054.5078165515,-11413.04659289717
263498.10053221066,-7453.426524290968
263941.69324786996,-3260.8729937317944
264385.2859635292,0
