time	I(Rs)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	-1.138784e-005
2.285714312425366e-007	-2.266240e-005
3.428571468638050e-007	-3.382368e-005
4.571428624850733e-007	-4.487167e-005
5.714285781063416e-007	-5.580639e-005
6.857142937276099e-007	-6.662782e-005
8.000000093488779e-007	-7.733598e-005
1.600000018697756e-006	-1.498283e-004
2.832046092207796e-006	-2.533941e-004
4.664060846415633e-006	-3.911196e-004
7.163611562529998e-006	-5.518020e-004
1.057416167799984e-005	-7.291131e-004
1.505231378255121e-005	-9.047275e-004
2.099363613123081e-005	-1.065145e-003
2.879738635623472e-005	-1.194090e-003
3.856301135623472e-005	-1.279245e-003
4.832863635623472e-005	-1.314609e-003
5.809426135623473e-005	-1.320271e-003
6.785988635623472e-005	-1.309154e-003
7.762551135623472e-005	-1.287475e-003
9.715676135623471e-005	-1.223034e-003
1.166880113562347e-004	-1.137401e-003
1.362192613562347e-004	-1.034026e-003
1.557505113562347e-004	-9.149525e-004
1.752817613562347e-004	-7.820845e-004
1.948130113562348e-004	-6.374458e-004
2.143442613562348e-004	-4.832176e-004
2.338755113562348e-004	-3.217210e-004
2.534067613562348e-004	-1.553853e-004
2.729380113562348e-004	1.328751e-005
2.924692613562348e-004	1.817605e-004
3.120005113562349e-004	3.474997e-004
3.315317613562349e-004	5.080121e-004
3.510630113562349e-004	6.608836e-004
3.705942613562349e-004	8.038147e-004
3.901255113562349e-004	9.346558e-004
4.096567613562349e-004	1.051439e-003
4.291880113562350e-004	1.152407e-003
4.487192613562350e-004	1.236042e-003
4.682505113562350e-004	1.301086e-003
4.877817613562350e-004	1.346560e-003
5.073130113562350e-004	1.371781e-003
5.268442613562350e-004	1.376369e-003
5.463755113562350e-004	1.360255e-003
5.659067613562350e-004	1.323681e-003
5.854380113562351e-004	1.267199e-003
6.049692613562351e-004	1.191656e-003
6.245005113562351e-004	1.098190e-003
6.440317613562351e-004	9.882054e-004
6.635630113562351e-004	8.633578e-004
6.830942613562351e-004	7.255244e-004
7.026255113562352e-004	5.767785e-004
7.221567613562352e-004	4.193573e-004
7.416880113562352e-004	2.556286e-004
7.612192613562352e-004	8.805497e-005
7.807505113562352e-004	-8.084307e-005
8.002817613562352e-004	-2.485252e-004
8.198130113562353e-004	-4.124692e-004
8.393442613562353e-004	-5.702093e-004
8.588755113562353e-004	-7.193729e-004
8.784067613562353e-004	-8.577165e-004
8.979380113562353e-004	-9.831593e-004
9.174692613562353e-004	-1.093814e-003
9.370005113562354e-004	-1.188018e-003
9.565317613562354e-004	-1.264352e-003
9.760630113562354e-004	-1.321669e-003
9.955942613562353e-004	-1.359107e-003
1.015125511356235e-003	-1.376103e-003
1.034656761356235e-003	-1.372401e-003
1.054188011356235e-003	-1.348057e-003
1.073719261356235e-003	-1.303436e-003
1.093250511356235e-003	-1.239211e-003
1.112781761356235e-003	-1.156347e-003
1.132313011356235e-003	-1.056091e-003
1.151844261356235e-003	-9.399495e-004
1.171375511356236e-003	-8.096707e-004
1.190906761356236e-003	-6.672136e-004
1.210438011356236e-003	-5.147210e-004
1.229969261356236e-003	-3.544865e-004
1.249500511356236e-003	-1.889203e-004
1.269031761356236e-003	-2.051246e-005
1.288563011356236e-003	1.482039e-004
1.308094261356236e-003	3.146911e-004
1.327625511356236e-003	4.764451e-004
1.347156761356236e-003	6.310329e-004
1.366688011356236e-003	7.761293e-004
1.386219261356236e-003	9.095521e-004
1.405750511356236e-003	1.029294e-003
1.425281761356236e-003	1.133555e-003
1.444813011356236e-003	1.220766e-003
1.464344261356236e-003	1.289616e-003
1.483875511356236e-003	1.339068e-003
1.503406761356236e-003	1.368380e-003
1.522938011356236e-003	1.377110e-003
1.542469261356236e-003	1.365127e-003
1.562000511356236e-003	1.332611e-003
1.581531761356236e-003	1.280051e-003
1.601063011356236e-003	1.208239e-003
1.620594261356236e-003	1.118253e-003
1.640125511356236e-003	1.011448e-003
1.659656761356236e-003	8.894292e-004
1.679188011356236e-003	7.540330e-004
1.698719261356236e-003	6.072954e-004
1.718250511356236e-003	4.514235e-004
1.737781761356236e-003	2.887618e-004
1.757313011356236e-003	1.217568e-004
1.776844261356236e-003	-4.707947e-005
1.796375511356236e-003	-2.152076e-004
1.815906761356236e-003	-3.800989e-004
1.835438011356236e-003	-5.392731e-004
1.854969261356236e-003	-6.903362e-004
1.874500511356236e-003	-8.310159e-004
1.894031761356236e-003	-9.591964e-004
1.913563011356236e-003	-1.072950e-003
1.933094261356236e-003	-1.170565e-003
1.952625511356236e-003	-1.250574e-003
1.972156761356236e-003	-1.311773e-003
1.991688011356236e-003	-1.353241e-003
2.011219261356235e-003	-1.374356e-003
2.030750511356235e-003	-1.374799e-003
2.050281761356234e-003	-1.354564e-003
2.069813011356234e-003	-1.313955e-003
2.089344261356234e-003	-1.253582e-003
2.108875511356233e-003	-1.174355e-003
2.128406761356233e-003	-1.077465e-003
2.147938011356232e-003	-9.643679e-004
2.167469261356232e-003	-8.367663e-004
2.187000511356231e-003	-6.965788e-004
2.206531761356231e-003	-5.459142e-004
2.226063011356231e-003	-3.870385e-004
