time	I(Rs)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	-1.498681e-005
2.285714312425366e-007	-2.978101e-005
3.428571468638050e-007	-4.438263e-005
4.571428624850733e-007	-5.879165e-005
5.714285781063416e-007	-7.300807e-005
6.857142937276099e-007	-8.703190e-005
8.000000093488779e-007	-1.008631e-004
1.553302576703279e-006	-1.884710e-004
2.634768490207265e-006	-3.034627e-004
4.233728190527335e-006	-4.528131e-004
6.358548789327462e-006	-6.188655e-004
9.264560421224318e-006	-7.975653e-004
1.303764389847024e-005	-9.666932e-004
1.808051640157490e-005	-1.115495e-003
2.471062140420240e-005	-1.227377e-003
3.378366524220339e-005	-1.298964e-003
4.354929024220339e-005	-1.323324e-003
5.331491524220339e-005	-1.319334e-003
6.308054024220339e-005	-1.301293e-003
8.261179024220338e-005	-1.242882e-003
1.021430402422034e-004	-1.163590e-003
1.216742902422034e-004	-1.066512e-003
1.412055402422034e-004	-9.533557e-004
1.607367902422034e-004	-8.258554e-004
1.802680402422034e-004	-6.859328e-004
1.997992902422034e-004	-5.356930e-004
2.193305402422034e-004	-3.773959e-004
2.388617902422035e-004	-2.134224e-004
2.583930402422034e-004	-4.623884e-005
2.779242902422035e-004	1.216402e-004
2.974555402422035e-004	2.876896e-004
3.169867902422035e-004	4.494120e-004
3.365180402422035e-004	6.043747e-004
3.560492902422035e-004	7.502472e-004
3.755805402422035e-004	8.848351e-004
3.951117902422036e-004	1.006114e-003
4.146430402422036e-004	1.112261e-003
4.341742902422036e-004	1.201678e-003
4.537055402422036e-004	1.273020e-003
4.732367902422036e-004	1.325215e-003
4.927680402422037e-004	1.357478e-003
5.122992902422037e-004	1.369323e-003
5.318305402422037e-004	1.360572e-003
5.513617902422037e-004	1.331357e-003
5.708930402422037e-004	1.282117e-003
5.904242902422037e-004	1.213592e-003
6.099555402422038e-004	1.126815e-003
6.294867902422038e-004	1.023088e-003
6.490180402422038e-004	9.039740e-004
6.685492902422038e-004	7.712630e-004
6.880805402422038e-004	6.269515e-004
7.076117902422038e-004	4.732100e-004
7.271430402422039e-004	3.123511e-004
7.466742902422039e-004	1.467940e-004
7.662055402422039e-004	-2.097089e-005
7.857367902422039e-004	-1.884204e-004
8.052680402422039e-004	-3.530359e-004
8.247992902422039e-004	-5.123414e-004
8.443305402422040e-004	-6.639408e-004
8.638617902422040e-004	-8.055540e-004
8.833930402422040e-004	-9.350508e-004
9.029242902422040e-004	-1.050484e-003
9.224555402422040e-004	-1.150116e-003
9.419867902422041e-004	-1.232450e-003
9.615180402422041e-004	-1.296246e-003
9.810492902422041e-004	-1.340546e-003
1.000580540242204e-003	-1.364683e-003
1.020111790242204e-003	-1.368294e-003
1.039643040242204e-003	-1.351324e-003
1.059174290242204e-003	-1.314029e-003
1.078705540242204e-003	-1.256970e-003
1.098236790242204e-003	-1.181005e-003
1.117768040242204e-003	-1.087276e-003
1.137299290242204e-003	-9.771938e-004
1.156830540242204e-003	-8.524137e-004
1.176361790242204e-003	-7.148125e-004
1.195893040242204e-003	-5.664598e-004
1.215424290242204e-003	-4.095871e-004
1.234955540242204e-003	-2.465537e-004
1.254486790242204e-003	-7.981205e-005
1.274018040242204e-003	8.813010e-005
1.293549290242204e-003	2.547467e-004
1.313080540242204e-003	4.175317e-004
1.332611790242204e-003	5.740366e-004
1.352143040242204e-003	7.219074e-004
1.371674290242204e-003	8.589202e-004
1.391205540242204e-003	9.830139e-004
1.410736790242205e-003	1.092322e-003
1.430268040242205e-003	1.185201e-003
1.449799290242205e-003	1.260253e-003
1.469330540242205e-003	1.316350e-003
1.488861790242205e-003	1.352648e-003
1.508393040242205e-003	1.368600e-003
1.527924290242205e-003	1.363968e-003
1.547455540242205e-003	1.338820e-003
1.566986790242205e-003	1.293535e-003
1.586518040242205e-003	1.228795e-003
1.606049290242205e-003	1.145572e-003
1.625580540242205e-003	1.045118e-003
1.645111790242205e-003	9.289450e-004
1.664643040242205e-003	7.987998e-004
1.684174290242205e-003	6.566399e-004
1.703705540242205e-003	5.046035e-004
1.723236790242205e-003	3.449774e-004
1.742768040242205e-003	1.801625e-004
1.762299290242205e-003	1.263778e-005
1.781830540242205e-003	-1.550770e-004
1.801361790242205e-003	-3.204593e-004
1.820893040242205e-003	-4.810216e-004
1.840424290242205e-003	-6.343488e-004
1.859955540242205e-003	-7.781349e-004
1.879486790242205e-003	-9.102171e-004
1.899018040242205e-003	-1.028609e-003
1.918549290242205e-003	-1.131529e-003
1.938080540242205e-003	-1.217430e-003
1.957611790242205e-003	-1.285020e-003
1.977143040242204e-003	-1.333282e-003
1.996674290242204e-003	-1.361491e-003
2.016205540242204e-003	-1.369221e-003
2.035736790242203e-003	-1.356356e-003
2.055268040242203e-003	-1.323091e-003
2.074799290242202e-003	-1.269926e-003
2.094330540242202e-003	-1.197659e-003
2.113861790242201e-003	-1.107379e-003
2.133393040242201e-003	-1.000442e-003
2.152924290242201e-003	-8.784584e-004
2.172455540242200e-003	-7.432616e-004
2.191986790242200e-003	-5.968854e-004
2.211518040242199e-003	-4.415315e-004
2.231049290242199e-003	-2.795366e-004
2.250580540242199e-003	-1.133372e-004
2.270111790242198e-003	5.456693e-005
2.289643040242198e-003	2.216503e-004
2.309174290242197e-003	3.853998e-004
2.328705540242197e-003	5.433526e-004
2.348236790242196e-003	6.931329e-004
2.367768040242196e-003	8.324878e-004
2.387299290242196e-003	9.593213e-004
2.406830540242195e-003	1.071726e-003
2.426361790242195e-003	1.168010e-003
2.445893040242194e-003	1.246727e-003
2.465424290242194e-003	1.306692e-003
2.484955540242194e-003	1.347003e-003
2.504486790242193e-003	1.367053e-003
2.524018040242193e-003	1.366542e-003
2.543549290242192e-003	1.345477e-003
2.563080540242192e-003	1.304175e-003
2.582611790242191e-003	1.243257e-003
2.602143040242191e-003	1.163639e-003
2.621674290242191e-003	1.066518e-003
2.641205540242190e-003	9.533566e-004
2.660736790242190e-003	8.258555e-004
2.680268040242189e-003	6.859328e-004
2.699799290242189e-003	5.356930e-004
2.719330540242189e-003	3.773959e-004
2.738861790242188e-003	2.134224e-004
2.758393040242188e-003	4.623884e-005
2.777924290242187e-003	-1.216402e-004
2.797455540242187e-003	-2.876896e-004
2.816986790242186e-003	-4.494120e-004
2.836518040242186e-003	-6.043747e-004
2.856049290242186e-003	-7.502472e-004
2.875580540242185e-003	-8.848351e-004
2.895111790242185e-003	-1.006114e-003
2.914643040242184e-003	-1.112261e-003
2.934174290242184e-003	-1.201678e-003
2.953705540242184e-003	-1.273020e-003
2.973236790242183e-003	-1.325215e-003
2.992768040242183e-003	-1.357478e-003
3.012299290242182e-003	-1.369323e-003
3.031830540242182e-003	-1.360572e-003
3.051361790242181e-003	-1.331357e-003
3.070893040242181e-003	-1.282117e-003
3.090424290242181e-003	-1.213592e-003
3.109955540242180e-003	-1.126815e-003
3.129486790242180e-003	-1.023088e-003
3.149018040242179e-003	-9.039740e-004
3.168549290242179e-003	-7.712630e-004
3.188080540242179e-003	-6.269515e-004
3.207611790242178e-003	-4.732100e-004
3.227143040242178e-003	-3.123511e-004
3.246674290242177e-003	-1.467940e-004
3.266205540242177e-003	2.097089e-005
3.285736790242176e-003	1.884204e-004
3.305268040242176e-003	3.530359e-004
3.324799290242176e-003	5.123414e-004
3.344330540242175e-003	6.639408e-004
3.363861790242175e-003	8.055540e-004
3.383393040242174e-003	9.350508e-004
3.402924290242174e-003	1.050484e-003
3.422455540242174e-003	1.150116e-003
3.441986790242173e-003	1.232450e-003
3.461518040242173e-003	1.296246e-003
3.481049290242172e-003	1.340546e-003
3.500580540242172e-003	1.364683e-003
3.520111790242171e-003	1.368294e-003
3.539643040242171e-003	1.351324e-003
3.559174290242171e-003	1.314029e-003
3.578705540242170e-003	1.256970e-003
3.598236790242170e-003	1.181005e-003
3.617768040242169e-003	1.087276e-003
3.637299290242169e-003	9.771938e-004
3.656830540242169e-003	8.524137e-004
3.676361790242168e-003	7.148125e-004
3.695893040242168e-003	5.664598e-004
3.715424290242167e-003	4.095871e-004
3.734955540242167e-003	2.465537e-004
3.754486790242166e-003	7.981205e-005
3.774018040242166e-003	-8.813010e-005
3.793549290242166e-003	-2.547467e-004
3.813080540242165e-003	-4.175317e-004
3.832611790242165e-003	-5.740366e-004
3.852143040242164e-003	-7.219074e-004
3.871674290242164e-003	-8.589202e-004
3.891205540242164e-003	-9.830139e-004
3.910736790242163e-003	-1.092322e-003
3.930268040242163e-003	-1.185201e-003
3.949799290242162e-003	-1.260253e-003
3.969330540242162e-003	-1.316350e-003
3.988861790242161e-003	-1.352648e-003
4.008393040242161e-003	-1.368600e-003
4.027924290242161e-003	-1.363968e-003
4.047455540242160e-003	-1.338820e-003
4.066986790242160e-003	-1.293535e-003
4.086518040242159e-003	-1.228795e-003
4.106049290242159e-003	-1.145572e-003
4.125580540242159e-003	-1.045118e-003
4.145111790242158e-003	-9.289450e-004
4.164643040242158e-003	-7.987998e-004
4.184174290242157e-003	-6.566399e-004
4.203705540242157e-003	-5.046035e-004
4.223236790242156e-003	-3.449774e-004
4.242768040242156e-003	-1.801625e-004
4.262299290242156e-003	-1.263778e-005
4.281830540242155e-003	1.550770e-004
4.301361790242155e-003	3.204593e-004
4.320893040242154e-003	4.810216e-004
4.340424290242154e-003	6.343488e-004
4.359955540242154e-003	7.781349e-004
4.379486790242153e-003	9.102171e-004
4.399018040242153e-003	1.028609e-003
4.418549290242152e-003	1.131529e-003
4.438080540242152e-003	1.217430e-003
4.457611790242151e-003	1.285020e-003
4.477143040242151e-003	1.333282e-003
4.496674290242151e-003	1.361491e-003
4.516205540242150e-003	1.369221e-003
4.535736790242150e-003	1.356356e-003
4.555268040242149e-003	1.323091e-003
4.574799290242149e-003	1.269926e-003
4.594330540242149e-003	1.197659e-003
4.613861790242148e-003	1.107379e-003
4.633393040242148e-003	1.000442e-003
4.652924290242147e-003	8.784584e-004
4.672455540242147e-003	7.432616e-004
4.691986790242146e-003	5.968854e-004
4.711518040242146e-003	4.415315e-004
4.731049290242146e-003	2.795366e-004
4.750580540242145e-003	1.133372e-004
4.770111790242145e-003	-5.456693e-005
4.789643040242144e-003	-2.216503e-004
4.809174290242144e-003	-3.853998e-004
4.828705540242144e-003	-5.433526e-004
4.848236790242143e-003	-6.931329e-004
4.867768040242143e-003	-8.324878e-004
4.887299290242142e-003	-9.593213e-004
4.906830540242142e-003	-1.071726e-003
4.926361790242142e-003	-1.168010e-003
4.945893040242141e-003	-1.246727e-003
