time	I(Rs)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	-1.435943e-005
2.285714312425366e-007	-2.853822e-005
3.428571468638050e-007	-4.253637e-005
4.571428624850733e-007	-5.635389e-005
5.714285781063416e-007	-6.999078e-005
6.857142937276099e-007	-8.344703e-005
8.000000093488779e-007	-9.672264e-005
1.562948601467397e-006	-1.819358e-004
2.656279348685137e-006	-2.937214e-004
4.280686533616984e-006	-4.398459e-004
6.436393016257761e-006	-6.024105e-004
9.391686234853055e-006	-7.782052e-004
1.322428373839598e-005	-9.449217e-004
1.835143432148999e-005	-1.092357e-003
2.508261646915064e-005	-1.203723e-003
3.428987246856134e-005	-1.275756e-003
4.405549746856134e-005	-1.300686e-003
5.382112246856134e-005	-1.297628e-003
6.358674746856134e-005	-1.280581e-003
8.311799746856133e-005	-1.224090e-003
1.026492474685613e-004	-1.146819e-003
1.221804974685613e-004	-1.051972e-003
1.417117474685613e-004	-9.412576e-004
1.612429974685614e-004	-8.163791e-004
1.807742474685614e-004	-6.792207e-004
2.003054974685614e-004	-5.318461e-004
2.198367474685614e-004	-3.764719e-004
2.393679974685614e-004	-2.154353e-004
2.588992474685614e-004	-5.115833e-005
2.784304974685614e-004	1.138881e-004
2.979617474685615e-004	2.772216e-004
3.174929974685615e-004	4.363853e-004
3.370242474685615e-004	5.889855e-004
3.565554974685615e-004	7.327267e-004
3.760867474685615e-004	8.654471e-004
3.956179974685615e-004	9.851503e-004
4.151492474685616e-004	1.090036e-003
4.346804974685616e-004	1.178526e-003
4.542117474685616e-004	1.249291e-003
4.737429974685616e-004	1.301265e-003
4.932742474685616e-004	1.333666e-003
5.128054974685617e-004	1.346008e-003
5.323367474685617e-004	1.338105e-003
5.518679974685617e-004	1.310076e-003
5.713992474685617e-004	1.262341e-003
5.909304974685617e-004	1.195620e-003
6.104617474685617e-004	1.110916e-003
6.299929974685618e-004	1.009503e-003
6.495242474685618e-004	8.929052e-004
6.690554974685618e-004	7.628776e-004
6.885867474685618e-004	6.213757e-004
7.081179974685618e-004	4.705278e-004
7.276492474685618e-004	3.126027e-004
7.471804974685619e-004	1.499757e-004
7.667117474685619e-004	-1.490706e-005
7.862429974685619e-004	-1.795656e-004
8.057742474685619e-004	-3.415233e-004
8.253054974685619e-004	-4.983442e-004
8.448367474685619e-004	-6.476694e-004
8.643679974685620e-004	-7.872533e-004
8.838992474685620e-004	-9.149960e-004
9.034304974685620e-004	-1.028976e-003
9.229617474685620e-004	-1.127480e-003
9.424929974685620e-004	-1.209025e-003
9.620242474685620e-004	-1.272385e-003
9.815554974685621e-004	-1.316608e-003
1.001086747468562e-003	-1.341028e-003
1.020617997468562e-003	-1.345277e-003
1.040149247468562e-003	-1.329292e-003
1.059680497468562e-003	-1.293313e-003
1.079211747468562e-003	-1.237881e-003
1.098742997468562e-003	-1.163831e-003
1.118274247468562e-003	-1.072276e-003
1.137805497468562e-003	-9.645923e-004
1.157336747468562e-003	-8.424005e-004
1.176867997468562e-003	-7.075382e-004
1.196399247468562e-003	-5.620338e-004
1.215930497468562e-003	-4.080760e-004
1.235461747468562e-003	-2.479803e-004
1.254992997468562e-003	-8.415476e-005
1.274524247468562e-003	8.093654e-005
1.294055497468562e-003	2.448105e-004
1.313586747468562e-003	4.050023e-004
1.333117997468562e-003	5.591024e-004
1.352649247468562e-003	7.047931e-004
1.372180497468562e-003	8.398831e-004
1.391711747468562e-003	9.623405e-004
1.411242997468562e-003	1.070323e-003
1.430774247468563e-003	1.162208e-003
1.450305497468563e-003	1.236611e-003
1.469836747468563e-003	1.292415e-003
1.489367997468563e-003	1.328780e-003
1.508899247468563e-003	1.345158e-003
1.528430497468563e-003	1.341304e-003
1.547961747468563e-003	1.317276e-003
1.567492997468563e-003	1.273434e-003
1.587024247468563e-003	1.210439e-003
1.606555497468563e-003	1.129238e-003
1.626086747468563e-003	1.031052e-003
1.645617997468563e-003	9.173583e-004
1.665149247468563e-003	7.898663e-004
1.684680497468563e-003	6.504941e-004
1.704211747468563e-003	5.013379e-004
1.723742997468563e-003	3.446411e-004
1.743274247468563e-003	1.827605e-004
1.762805497468563e-003	1.813110e-005
1.782336747468563e-003	-1.467711e-004
1.801867997468563e-003	-3.094656e-004
1.821399247468563e-003	-4.675055e-004
1.840930497468563e-003	-6.185137e-004
1.860461747468563e-003	-7.602189e-004
1.879992997468563e-003	-8.904897e-004
1.899524247468563e-003	-1.007367e-003
1.919055497468563e-003	-1.109092e-003
1.938586747468563e-003	-1.194135e-003
1.958117997468563e-003	-1.261218e-003
1.977649247468562e-003	-1.309331e-003
1.997180497468562e-003	-1.337750e-003
2.016711747468562e-003	-1.346048e-003
2.036242997468561e-003	-1.334100e-003
2.055774247468561e-003	-1.302087e-003
2.075305497468560e-003	-1.250488e-003
2.094836747468560e-003	-1.180081e-003
2.114367997468559e-003	-1.091925e-003
2.133899247468559e-003	-9.873448e-004
2.153430497468559e-003	-8.679142e-004
2.172961747468558e-003	-7.354294e-004
2.192492997468558e-003	-5.918830e-004
2.212024247468557e-003	-4.394342e-004
2.231555497468557e-003	-2.803759e-004
2.251086747468557e-003	-1.171005e-004
2.270617997468556e-003	4.793625e-005
2.290149247468556e-003	2.122520e-004
2.309680497468555e-003	3.733752e-004
2.329211747468555e-003	5.288825e-004
2.348742997468554e-003	6.764351e-004
2.368274247468554e-003	8.138133e-004
2.387805497468554e-003	9.389510e-004
2.407336747468553e-003	1.049966e-003
2.426867997468553e-003	1.145189e-003
2.446399247468552e-003	1.223186e-003
2.465930497468552e-003	1.282786e-003
2.485461747468552e-003	1.323092e-003
2.504992997468551e-003	1.343497e-003
2.524524247468551e-003	1.343695e-003
2.544055497468550e-003	1.323682e-003
2.563586747468550e-003	1.283760e-003
2.583117997468549e-003	1.224529e-003
2.602649247468549e-003	1.146880e-003
2.622180497468549e-003	1.051981e-003
2.641711747468548e-003	9.412587e-004
2.661242997468548e-003	8.163793e-004
2.680774247468547e-003	6.792207e-004
2.700305497468547e-003	5.318461e-004
2.719836747468547e-003	3.764719e-004
2.739367997468546e-003	2.154353e-004
2.758899247468546e-003	5.115833e-005
2.778430497468545e-003	-1.138881e-004
2.797961747468545e-003	-2.772216e-004
2.817492997468544e-003	-4.363853e-004
2.837024247468544e-003	-5.889855e-004
2.856555497468544e-003	-7.327267e-004
2.876086747468543e-003	-8.654471e-004
2.895617997468543e-003	-9.851503e-004
2.915149247468542e-003	-1.090036e-003
2.934680497468542e-003	-1.178526e-003
2.954211747468542e-003	-1.249291e-003
2.973742997468541e-003	-1.301265e-003
2.993274247468541e-003	-1.333666e-003
3.012805497468540e-003	-1.346008e-003
3.032336747468540e-003	-1.338105e-003
3.051867997468539e-003	-1.310076e-003
3.071399247468539e-003	-1.262341e-003
3.090930497468539e-003	-1.195620e-003
3.110461747468538e-003	-1.110916e-003
3.129992997468538e-003	-1.009503e-003
3.149524247468537e-003	-8.929052e-004
3.169055497468537e-003	-7.628776e-004
3.188586747468537e-003	-6.213757e-004
3.208117997468536e-003	-4.705278e-004
3.227649247468536e-003	-3.126027e-004
3.247180497468535e-003	-1.499757e-004
3.266711747468535e-003	1.490706e-005
3.286242997468534e-003	1.795656e-004
3.305774247468534e-003	3.415233e-004
3.325305497468534e-003	4.983442e-004
3.344836747468533e-003	6.476694e-004
3.364367997468533e-003	7.872533e-004
3.383899247468532e-003	9.149960e-004
3.403430497468532e-003	1.028976e-003
3.422961747468532e-003	1.127480e-003
3.442492997468531e-003	1.209025e-003
3.462024247468531e-003	1.272385e-003
3.481555497468530e-003	1.316608e-003
